timestamp_ms,endpoint,status,latency_ms,success,error
1784916393469,product,200,82.3,1,
1784916393470,inventory,200,74.69,1,
1784916393471,order,200,62.47,1,
1784916393534,order,200,2.41,1,
1784916393544,inventory,200,1.91,1,
1784916393551,product,200,2.48,1,
1784916393554,order,200,2.23,1,
1784916393565,inventory,200,2.3,1,
1784916393571,product,200,4.46,1,
1784916393574,order,200,4.55,1,
1784916393585,inventory,200,3.07,1,
1784916393591,product,200,2.7,1,
1784916393594,order,200,2.0,1,
1784916393605,inventory,200,2.15,1,
1784916393612,product,200,2.37,1,
1784916393614,order,200,1.86,1,
1784916393625,inventory,200,2.48,1,
1784916393632,product,200,2.1,1,
1784916393634,order,200,1.87,1,
1784916393645,inventory,200,2.46,1,
1784916393652,product,200,2.13,1,
1784916393655,order,200,2.24,1,
1784916393665,inventory,200,2.09,1,
1784916393672,product,200,2.27,1,
1784916393675,order,200,2.43,1,
1784916393685,inventory,200,3.25,1,
1784916393692,product,200,3.52,1,
1784916393695,order,200,4.26,1,
1784916393705,inventory,200,3.3,1,
1784916393712,product,200,3.41,1,
1784916393715,order,200,3.52,1,
1784916393726,inventory,200,9.18,1,
1784916393734,product,200,23.66,1,
1784916393735,order,200,20.28,1,
1784916393746,inventory,200,20.87,1,
1784916393755,order,200,7.11,1,
1784916393757,product,200,16.01,1,
1784916393767,inventory,200,11.31,1,
1784916393776,order,200,6.37,1,
1784916393778,product,200,3.57,1,
1784916393787,inventory,200,2.84,1,
1784916393796,order,200,4.03,1,
1784916393798,product,200,5.3,1,
1784916393807,inventory,200,2.48,1,
1784916393816,order,200,2.72,1,
1784916393819,product,200,2.51,1,
1784916393827,inventory,200,2.12,1,
1784916393836,order,200,2.37,1,
1784916393839,product,200,1.86,1,
1784916393847,inventory,200,2.06,1,
1784916393856,order,200,2.22,1,
1784916393859,product,200,2.03,1,
1784916393867,inventory,200,2.27,1,
1784916393876,order,200,2.04,1,
1784916393879,product,200,1.85,1,
1784916393887,inventory,200,2.75,1,
1784916393896,order,200,3.16,1,
1784916393900,product,200,3.17,1,
1784916393908,inventory,200,3.39,1,
1784916393916,order,200,3.06,1,
1784916393920,product,200,3.25,1,
1784916393928,inventory,200,3.28,1,
1784916393937,order,200,3.77,1,
1784916393940,product,200,3.49,1,
1784916393948,inventory,200,2.99,1,
1784916393957,order,200,3.13,1,
1784916393960,product,200,2.62,1,
1784916393968,inventory,200,3.83,1,
1784916393977,order,200,3.02,1,
1784916393980,product,200,3.51,1,
1784916393988,inventory,200,3.06,1,
1784916393997,order,200,3.08,1,
1784916394000,product,200,3.07,1,
1784916394008,inventory,200,3.01,1,
1784916394017,order,200,2.51,1,
1784916394020,product,200,1.88,1,
1784916394028,inventory,200,2.14,1,
1784916394037,order,200,2.43,1,
1784916394041,product,200,2.91,1,
1784916394049,inventory,200,3.65,1,
1784916394057,order,200,3.21,1,
1784916394061,product,200,3.53,1,
1784916394069,inventory,200,3.79,1,
1784916394078,order,200,2.95,1,
1784916394081,product,200,4.23,1,
1784916394089,inventory,200,3.28,1,
1784916394098,order,200,2.89,1,
1784916394101,product,200,3.38,1,
1784916394109,inventory,200,3.04,1,
1784916394118,order,200,3.66,1,
1784916394121,product,200,4.75,1,
1784916394129,inventory,200,8.79,1,
1784916394138,order,200,13.95,1,
1784916394141,product,200,13.39,1,
1784916394151,inventory,200,14.3,1,
1784916394158,order,200,11.08,1,
1784916394161,product,200,19.34,1,
1784916394171,inventory,200,9.73,1,
1784916394178,order,200,7.8,1,
1784916394182,product,200,5.46,1,
1784916394192,inventory,200,7.86,1,
1784916394199,order,200,4.56,1,
1784916394202,product,200,4.44,1,
1784916394212,inventory,200,3.52,1,
1784916394219,order,200,4.11,1,
1784916394222,product,200,4.23,1,
1784916394232,inventory,200,3.42,1,
1784916394239,order,200,3.17,1,
1784916394242,product,200,2.58,1,
1784916394252,inventory,200,2.79,1,
1784916394260,order,200,2.45,1,
1784916394263,product,200,2.1,1,
1784916394272,inventory,200,2.36,1,
1784916394280,order,200,2.26,1,
1784916394283,product,200,1.96,1,
1784916394292,inventory,200,2.22,1,
1784916394300,order,200,2.1,1,
1784916394303,product,200,2.07,1,
1784916394312,inventory,200,2.39,1,
1784916394320,order,200,2.18,1,
1784916394323,product,200,1.93,1,
1784916394333,inventory,200,2.17,1,
1784916394340,order,200,2.06,1,
1784916394343,product,200,1.81,1,
1784916394353,inventory,200,2.47,1,
1784916394360,order,200,2.2,1,
1784916394363,product,200,2.51,1,
1784916394373,inventory,200,2.27,1,
1784916394380,order,200,2.38,1,
1784916394383,product,200,2.14,1,
1784916394393,inventory,200,2.31,1,
1784916394400,order,200,1.68,1,
1784916394403,product,200,1.85,1,
1784916394413,inventory,200,2.45,1,
1784916394421,order,200,2.23,1,
1784916394423,product,200,1.98,1,
1784916394433,inventory,200,2.0,1,
1784916394441,order,200,1.97,1,
1784916394444,product,200,1.81,1,
1784916394453,inventory,200,2.21,1,
1784916394461,order,200,2.38,1,
1784916394464,product,200,2.14,1,
1784916394473,inventory,200,2.0,1,
1784916394481,order,200,2.28,1,
1784916394484,product,200,1.98,1,
1784916394494,inventory,200,1.84,1,
1784916394501,order,200,2.37,1,
1784916394504,product,200,1.9,1,
1784916394514,inventory,200,2.29,1,
1784916394521,order,200,3.45,1,
1784916394524,product,200,3.71,1,
1784916394534,inventory,200,9.31,1,
1784916394541,order,200,8.5,1,
1784916394544,product,200,4.8,1,
1784916394554,inventory,200,3.69,1,
1784916394561,order,200,2.7,1,
1784916394564,product,200,3.33,1,
1784916394574,inventory,200,2.45,1,
1784916394581,order,200,2.49,1,
1784916394585,product,200,2.31,1,
1784916394594,inventory,200,2.29,1,
1784916394602,order,200,3.16,1,
1784916394606,product,200,3.31,1,
1784916394614,inventory,200,6.38,1,
1784916394622,order,200,3.17,1,
1784916394626,product,200,2.44,1,
1784916394635,inventory,200,2.4,1,
1784916394642,order,200,3.01,1,
1784916394646,product,200,3.79,1,
1784916394655,inventory,200,2.27,1,
1784916394662,order,200,5.67,1,
1784916394666,product,200,3.0,1,
1784916394675,inventory,200,3.25,1,
1784916394682,order,200,2.72,1,
1784916394686,product,200,3.92,1,
1784916394695,inventory,200,4.09,1,
1784916394702,order,200,3.55,1,
1784916394706,product,200,2.66,1,
1784916394715,inventory,200,3.0,1,
1784916394722,order,200,3.63,1,
1784916394726,product,200,2.23,1,
1784916394735,inventory,200,2.55,1,
1784916394743,order,200,4.73,1,
1784916394747,product,200,5.36,1,
1784916394755,inventory,200,2.62,1,
1784916394764,order,200,5.61,1,
1784916394767,product,200,5.69,1,
1784916394775,inventory,200,2.63,1,
1784916394784,order,200,4.95,1,
1784916394788,product,200,9.38,1,
1784916394796,inventory,200,4.81,1,
1784916394804,order,200,2.94,1,
1784916394808,product,200,4.22,1,
1784916394816,inventory,200,2.77,1,
1784916394825,order,200,6.72,1,
1784916394828,product,200,5.17,1,
1784916394836,inventory,200,5.72,1,
1784916394846,order,200,7.11,1,
1784916394848,product,200,6.08,1,
1784916394856,inventory,200,9.72,1,
1784916394866,order,200,4.94,1,
1784916394868,product,200,7.47,1,
1784916394876,inventory,200,2.36,1,
1784916394886,order,200,2.8,1,
1784916394889,product,200,2.44,1,
1784916394896,inventory,200,2.86,1,
1784916394906,order,200,4.1,1,
1784916394909,product,200,3.27,1,
1784916394917,inventory,200,2.33,1,
1784916394926,order,200,6.57,1,
1784916394929,product,200,4.6,1,
1784916394937,inventory,200,3.66,1,
1784916394946,order,200,4.26,1,
1784916394949,product,200,8.57,1,
1784916394957,inventory,200,3.13,1,
1784916394967,order,200,2.63,1,
1784916394969,product,200,2.52,1,
1784916394977,inventory,200,2.14,1,
1784916394987,order,200,3.35,1,
1784916394990,product,200,2.37,1,
1784916394997,inventory,200,2.82,1,
1784916395007,order,200,2.61,1,
1784916395010,product,200,2.06,1,
1784916395017,inventory,200,2.27,1,
1784916395027,order,200,2.45,1,
1784916395030,product,200,2.36,1,
1784916395037,inventory,200,2.06,1,
1784916395047,order,200,4.65,1,
1784916395050,product,200,2.68,1,
1784916395058,inventory,200,3.24,1,
1784916395067,order,200,2.29,1,
1784916395070,product,200,2.57,1,
1784916395078,inventory,200,2.28,1,
1784916395087,order,200,2.31,1,
1784916395090,product,200,2.64,1,
1784916395098,inventory,200,2.6,1,
1784916395108,order,200,2.33,1,
1784916395110,product,200,2.77,1,
1784916395118,inventory,200,3.04,1,
1784916395128,order,200,3.71,1,
1784916395130,product,200,3.83,1,
1784916395138,inventory,200,14.19,1,
1784916395148,order,200,11.64,1,
1784916395151,product,200,10.49,1,
1784916395158,inventory,200,9.94,1,
1784916395168,order,200,4.24,1,
1784916395171,product,200,2.86,1,
1784916395178,inventory,200,2.56,1,
1784916395189,order,200,2.57,1,
1784916395192,product,200,1.86,1,
1784916395198,inventory,200,1.94,1,
1784916395209,order,200,2.45,1,
1784916395212,product,200,2.06,1,
1784916395218,inventory,200,2.04,1,
1784916395229,order,200,2.81,1,
1784916395232,product,200,1.99,1,
1784916395239,inventory,200,2.27,1,
1784916395249,order,200,2.35,1,
1784916395252,product,200,1.77,1,
1784916395259,inventory,200,2.53,1,
1784916395269,order,200,2.54,1,
1784916395272,product,200,2.07,1,
1784916395279,inventory,200,2.89,1,
1784916395289,order,200,3.2,1,
1784916395292,product,200,2.15,1,
1784916395299,inventory,200,2.0,1,
1784916395309,order,200,2.5,1,
1784916395312,product,200,2.24,1,
1784916395319,inventory,200,2.27,1,
1784916395330,order,200,12.14,1,
1784916395333,product,200,18.59,1,
1784916395339,inventory,200,4.79,1,
1784916395351,order,200,8.7,1,
1784916395353,product,200,3.87,1,
1784916395359,inventory,200,2.55,1,
1784916395371,order,200,2.79,1,
1784916395373,product,200,2.31,1,
1784916395379,inventory,200,2.57,1,
1784916395391,order,200,2.64,1,
1784916395393,product,200,2.31,1,
1784916395400,inventory,200,3.04,1,
1784916395411,order,200,3.15,1,
1784916395413,product,200,2.63,1,
1784916395420,inventory,200,2.8,1,
1784916395431,order,200,2.89,1,
1784916395433,product,200,2.32,1,
1784916395440,inventory,200,2.38,1,
1784916395451,order,200,2.92,1,
1784916395453,product,200,2.43,1,
1784916395460,inventory,200,2.26,1,
1784916395471,order,200,2.27,1,
1784916395474,product,200,2.16,1,
1784916395480,inventory,200,2.33,1,
1784916395491,order,200,2.56,1,
1784916395494,product,200,2.05,1,
1784916395500,inventory,200,2.38,1,
1784916395512,order,200,2.56,1,
1784916395514,product,200,1.93,1,
1784916395520,inventory,200,2.02,1,
1784916395532,order,200,2.29,1,
1784916395534,product,200,1.68,1,
1784916395540,inventory,200,1.9,1,
1784916395552,order,200,2.62,1,
1784916395554,product,200,2.08,1,
1784916395561,inventory,200,2.36,1,
1784916395572,order,200,2.38,1,
1784916395574,product,200,1.88,1,
1784916395581,inventory,200,2.0,1,
1784916395592,order,200,3.05,1,
1784916395594,product,200,3.16,1,
1784916395601,inventory,200,4.02,1,
1784916395612,order,200,4.17,1,
1784916395615,product,200,3.42,1,
1784916395621,inventory,200,3.32,1,
1784916395632,order,200,3.71,1,
1784916395635,product,200,3.72,1,
1784916395641,inventory,200,3.13,1,
1784916395653,order,200,3.74,1,
1784916395655,product,200,3.42,1,
1784916395661,inventory,200,3.21,1,
1784916395673,order,200,3.7,1,
1784916395675,product,200,3.26,1,
1784916395681,inventory,200,3.05,1,
1784916395693,order,200,3.86,1,
1784916395695,product,200,3.54,1,
1784916395702,inventory,200,3.9,1,
1784916395713,order,200,3.69,1,
1784916395715,product,200,3.3,1,
1784916395722,inventory,200,5.35,1,
1784916395733,order,200,7.29,1,
1784916395736,product,200,19.16,1,
1784916395742,inventory,200,18.48,1,
1784916395754,order,200,17.79,1,
1784916395756,product,200,14.15,1,
1784916395762,inventory,200,12.08,1,
1784916395776,order,200,6.17,1,
1784916395776,product,200,6.76,1,
1784916395782,inventory,200,4.54,1,
1784916395796,order,200,3.34,1,
1784916395797,product,200,2.6,1,
1784916395803,inventory,200,2.35,1,
1784916395816,order,200,4.82,1,
1784916395817,product,200,4.19,1,
1784916395823,inventory,200,3.28,1,
1784916395836,order,200,4.37,1,
1784916395837,product,200,3.64,1,
1784916395843,inventory,200,2.92,1,
1784916395856,order,200,3.96,1,
1784916395857,product,200,3.39,1,
1784916395863,inventory,200,3.01,1,
1784916395877,order,200,4.22,1,
1784916395877,product,200,3.67,1,
1784916395883,inventory,200,2.97,1,
1784916395897,order,200,3.89,1,
1784916395897,product,200,3.37,1,
1784916395903,inventory,200,3.34,1,
1784916395917,order,200,4.01,1,
1784916395917,product,200,3.47,1,
1784916395923,inventory,200,3.23,1,
1784916395937,order,200,4.35,1,
1784916395938,product,200,3.82,1,
1784916395943,inventory,200,3.47,1,
1784916395957,order,200,4.0,1,
1784916395958,product,200,3.44,1,
1784916395964,inventory,200,3.45,1,
1784916395977,order,200,4.08,1,
1784916395978,product,200,3.58,1,
1784916395984,inventory,200,3.16,1,
1784916395998,product,200,3.94,1,
1784916395998,order,200,4.57,1,
1784916396004,inventory,200,3.37,1,
1784916396018,order,200,4.34,1,
1784916396018,product,200,3.85,1,
1784916396024,inventory,200,3.39,1,
1784916396038,order,200,3.82,1,
1784916396039,product,200,3.19,1,
1784916396044,inventory,200,2.8,1,
1784916396058,order,200,2.75,1,
1784916396059,product,200,2.55,1,
1784916396064,inventory,200,2.16,1,
1784916396078,order,200,4.1,1,
1784916396079,product,200,3.55,1,
1784916396084,inventory,200,2.82,1,
1784916396098,order,200,4.2,1,
1784916396099,product,200,3.7,1,
1784916396104,inventory,200,3.29,1,
1784916396119,product,200,3.73,1,
1784916396119,order,200,4.38,1,
1784916396125,inventory,200,8.84,1,
1784916396139,product,200,6.39,1,
1784916396139,order,200,15.38,1,
1784916396145,inventory,200,9.16,1,
1784916396159,order,200,9.61,1,
1784916396159,product,200,11.67,1,
1784916396165,inventory,200,9.71,1,
1784916396179,order,200,7.84,1,
1784916396180,product,200,8.99,1,
1784916396185,inventory,200,4.42,1,
1784916396199,order,200,4.36,1,
1784916396200,product,200,3.8,1,
1784916396205,inventory,200,3.53,1,
1784916396219,order,200,6.5,1,
1784916396220,product,200,7.38,1,
1784916396226,inventory,200,4.83,1,
1784916396240,order,200,5.53,1,
1784916396241,product,200,15.46,1,
1784916396247,inventory,200,10.77,1,
1784916396260,order,200,10.34,1,
1784916396261,product,200,9.35,1,
1784916396267,inventory,200,6.45,1,
1784916396280,order,200,9.22,1,
1784916396281,product,200,6.6,1,
1784916396287,inventory,200,7.96,1,
1784916396300,order,200,7.78,1,
1784916396301,product,200,2.92,1,
1784916396308,inventory,200,2.65,1,
1784916396320,order,200,2.43,1,
1784916396321,product,200,1.97,1,
1784916396328,inventory,200,2.1,1,
1784916396340,order,200,3.62,1,
1784916396341,product,200,3.23,1,
1784916396348,inventory,200,2.94,1,
1784916396361,order,200,4.12,1,
1784916396362,product,200,3.28,1,
1784916396368,inventory,200,3.09,1,
1784916396381,order,200,3.47,1,
1784916396382,product,200,3.13,1,
1784916396388,inventory,200,3.52,1,
1784916396401,order,200,3.72,1,
1784916396402,product,200,4.23,1,
1784916396408,inventory,200,4.12,1,
1784916396421,order,200,4.13,1,
1784916396423,product,200,3.96,1,
1784916396429,inventory,200,3.56,1,
1784916396441,order,200,4.0,1,
1784916396443,product,200,3.57,1,
1784916396449,inventory,200,3.53,1,
1784916396461,order,200,3.96,1,
1784916396463,product,200,3.22,1,
1784916396469,inventory,200,3.85,1,
1784916396482,order,200,3.74,1,
1784916396483,product,200,3.22,1,
1784916396489,inventory,200,3.75,1,
1784916396502,order,200,3.63,1,
1784916396503,product,200,3.53,1,
1784916396509,inventory,200,3.04,1,
1784916396522,order,200,11.82,1,
1784916396524,product,200,9.75,1,
1784916396529,inventory,200,15.63,1,
1784916396542,order,200,12.43,1,
1784916396546,product,200,21.46,1,
1784916396550,inventory,200,12.15,1,
1784916396566,order,200,5.27,1,
1784916396567,product,200,12.24,1,
1784916396570,inventory,200,9.04,1,
1784916396586,order,200,3.28,1,
1784916396588,product,200,4.43,1,
1784916396590,inventory,200,3.81,1,
1784916396606,order,200,2.47,1,
1784916396608,product,200,2.46,1,
1784916396610,inventory,200,2.02,1,
1784916396626,order,200,2.76,1,
1784916396628,product,200,2.6,1,
1784916396630,inventory,200,1.9,1,
1784916396646,order,200,2.65,1,
1784916396648,product,200,2.13,1,
1784916396650,inventory,200,1.76,1,
1784916396667,order,200,2.3,1,
1784916396668,product,200,2.13,1,
1784916396670,inventory,200,1.93,1,
1784916396687,order,200,2.71,1,
1784916396688,product,200,2.21,1,
1784916396690,inventory,200,1.81,1,
1784916396707,order,200,2.16,1,
1784916396708,product,200,1.96,1,
1784916396711,inventory,200,1.99,1,
1784916396727,order,200,2.49,1,
1784916396728,product,200,2.19,1,
1784916396731,inventory,200,2.28,1,
1784916396747,order,200,2.4,1,
1784916396749,product,200,2.56,1,
1784916396751,inventory,200,1.9,1,
1784916396767,order,200,2.9,1,
1784916396769,product,200,2.76,1,
1784916396771,inventory,200,2.54,1,
1784916396787,order,200,2.71,1,
1784916396789,product,200,2.7,1,
1784916396791,inventory,200,1.91,1,
1784916396807,order,200,2.48,1,
1784916396809,product,200,2.11,1,
1784916396811,inventory,200,1.83,1,
1784916396828,order,200,2.3,1,
1784916396829,product,200,1.86,1,
1784916396832,inventory,200,1.79,1,
1784916396848,order,200,2.93,1,
1784916396849,product,200,2.5,1,
1784916396852,inventory,200,2.61,1,
1784916396868,order,200,2.78,1,
1784916396869,product,200,2.15,1,
1784916396872,inventory,200,2.51,1,
1784916396888,order,200,3.44,1,
1784916396889,product,200,3.37,1,
1784916396892,inventory,200,3.48,1,
1784916396908,order,200,3.68,1,
1784916396909,product,200,3.39,1,
1784916396912,inventory,200,3.08,1,
1784916396928,order,200,10.02,1,
1784916396930,product,200,10.06,1,
