timestamp_ms,endpoint,status,latency_ms,success,error
1784832398193,product,200,77.39,1,
1784832398194,inventory,200,70.5,1,
1784832398195,order,200,72.81,1,
1784832398265,inventory,200,3.66,1,
1784832398267,order,200,3.51,1,
1784832398270,product,200,3.26,1,
1784832398285,inventory,200,4.28,1,
1784832398288,order,200,11.88,1,
1784832398290,product,200,7.44,1,
1784832398305,inventory,200,3.52,1,
1784832398308,order,200,3.99,1,
1784832398311,product,200,5.19,1,
1784832398325,inventory,200,3.42,1,
1784832398328,order,200,3.67,1,
1784832398331,product,200,4.6,1,
1784832398345,inventory,200,5.81,1,
1784832398348,order,200,5.66,1,
1784832398351,product,200,5.34,1,
1784832398365,inventory,200,7.18,1,
1784832398368,order,200,9.44,1,
1784832398371,product,200,4.98,1,
1784832398385,inventory,200,4.09,1,
1784832398388,order,200,7.57,1,
1784832398391,product,200,7.89,1,
1784832398406,inventory,200,5.53,1,
1784832398408,order,200,4.11,1,
1784832398411,product,200,3.97,1,
1784832398426,inventory,200,4.21,1,
1784832398428,order,200,4.17,1,
1784832398432,product,200,4.28,1,
1784832398446,inventory,200,3.36,1,
1784832398449,order,200,9.29,1,
1784832398452,product,200,7.01,1,
1784832398466,inventory,200,16.18,1,
1784832398469,order,200,12.08,1,
1784832398472,product,200,7.59,1,
1784832398486,inventory,200,7.34,1,
1784832398489,order,200,12.23,1,
1784832398493,product,200,7.05,1,
1784832398506,inventory,200,4.64,1,
1784832398509,order,200,9.14,1,
1784832398513,product,200,8.31,1,
1784832398526,inventory,200,12.92,1,
1784832398529,order,200,5.46,1,
1784832398533,product,200,5.46,1,
1784832398547,inventory,200,4.14,1,
1784832398549,order,200,5.45,1,
1784832398554,product,200,5.05,1,
1784832398567,inventory,200,3.69,1,
1784832398570,order,200,8.46,1,
1784832398574,product,200,5.46,1,
1784832398587,inventory,200,8.01,1,
1784832398590,order,200,6.99,1,
1784832398594,product,200,5.04,1,
1784832398607,inventory,200,4.56,1,
1784832398612,order,200,3.88,1,
1784832398614,product,200,4.38,1,
1784832398627,inventory,200,3.6,1,
1784832398632,order,200,4.16,1,
1784832398634,product,200,4.38,1,
1784832398647,inventory,200,3.59,1,
1784832398652,order,200,3.14,1,
1784832398654,product,200,3.51,1,
1784832398667,inventory,200,3.31,1,
1784832398672,order,200,6.76,1,
1784832398675,product,200,7.16,1,
1784832398688,inventory,200,5.14,1,
1784832398692,order,200,5.61,1,
1784832398695,product,200,3.64,1,
1784832398708,inventory,200,4.08,1,
1784832398712,order,200,11.24,1,
1784832398715,product,200,4.3,1,
1784832398728,inventory,200,4.21,1,
1784832398733,order,200,9.15,1,
1784832398735,product,200,4.18,1,
1784832398748,inventory,200,3.43,1,
1784832398753,order,200,3.85,1,
1784832398755,product,200,5.07,1,
1784832398768,inventory,200,4.97,1,
1784832398773,order,200,7.78,1,
1784832398780,product,200,6.19,1,
1784832398788,inventory,200,3.94,1,
1784832398793,order,200,4.96,1,
1784832398800,product,200,3.11,1,
1784832398809,inventory,200,8.56,1,
1784832398814,order,200,6.39,1,
1784832398820,product,200,3.24,1,
1784832398829,inventory,200,2.85,1,
1784832398834,order,200,2.92,1,
1784832398840,product,200,2.9,1,
1784832398849,inventory,200,3.76,1,
