timestamp_ms,endpoint,status,latency_ms,success,error
1784875741001,product,200,70.79,1,
1784875741002,inventory,200,68.64,1,
1784875741002,order,200,68.34,1,
1784875741071,inventory,200,4.3,1,
1784875741071,order,200,4.15,1,
1784875741072,product,200,2.81,1,
1784875741091,inventory,200,3.48,1,
1784875741091,order,200,3.68,1,
1784875741092,product,200,3.09,1,
1784875741111,order,200,3.11,1,
1784875741111,inventory,200,4.01,1,
1784875741112,product,200,2.92,1,
1784875741131,inventory,200,3.8,1,
1784875741131,order,200,3.54,1,
1784875741132,product,200,3.27,1,
1784875741151,order,200,5.03,1,
1784875741152,inventory,200,4.85,1,
1784875741152,product,200,4.26,1,
1784875741172,inventory,200,5.33,1,
1784875741172,order,200,5.78,1,
1784875741173,product,200,5.0,1,
1784875741192,inventory,200,5.79,1,
1784875741192,order,200,7.28,1,
1784875741193,product,200,6.42,1,
1784875741212,order,200,6.55,1,
1784875741213,product,200,5.56,1,
1784875741213,inventory,200,5.89,1,
1784875741232,order,200,5.67,1,
1784875741233,product,200,4.66,1,
1784875741233,inventory,200,5.9,1,
1784875741253,inventory,200,11.63,1,
1784875741254,product,200,61.2,1,
1784875741255,order,200,16.5,1,
1784875741273,inventory,200,8.64,1,
1784875741275,order,200,13.6,1,
1784875741294,inventory,200,6.3,1,
1784875741295,order,200,7.96,1,
1784875741314,inventory,200,10.28,1,
1784875741315,order,200,8.88,1,
1784875741315,product,200,12.43,1,
1784875741334,inventory,200,4.56,1,
1784875741335,product,200,5.39,1,
1784875741335,order,200,5.67,1,
1784875741354,inventory,200,4.05,1,
1784875741355,product,200,3.66,1,
1784875741355,order,200,4.32,1,
1784875741375,product,200,4.27,1,
1784875741375,inventory,200,8.41,1,
1784875741376,order,200,8.63,1,
1784875741395,inventory,200,4.26,1,
1784875741395,product,200,7.9,1,
1784875741396,order,200,7.67,1,
1784875741415,inventory,200,3.37,1,
1784875741416,order,200,2.86,1,
1784875741416,product,200,4.41,1,
1784875741435,inventory,200,4.6,1,
1784875741436,product,200,4.68,1,
1784875741436,order,200,4.47,1,
1784875741455,inventory,200,4.26,1,
1784875741456,product,200,3.53,1,
1784875741456,order,200,5.78,1,
1784875741475,inventory,200,4.36,1,
1784875741476,order,200,5.84,1,
1784875741476,product,200,6.92,1,
1784875741495,inventory,200,5.79,1,
1784875741496,product,200,5.38,1,
1784875741497,order,200,6.5,1,
1784875741516,inventory,200,4.3,1,
1784875741516,product,200,4.4,1,
1784875741517,order,200,5.72,1,
1784875741536,inventory,200,4.59,1,
1784875741536,product,200,4.63,1,
1784875741537,order,200,5.06,1,
1784875741556,inventory,200,5.63,1,
1784875741557,product,200,4.92,1,
1784875741557,order,200,9.69,1,
1784875741576,inventory,200,4.95,1,
1784875741577,product,200,3.97,1,
1784875741578,order,200,5.84,1,
1784875741596,inventory,200,8.3,1,
1784875741597,product,200,6.32,1,
1784875741598,order,200,5.34,1,
1784875741616,inventory,200,7.56,1,
1784875741618,product,200,4.66,1,
1784875741618,order,200,4.7,1,
1784875741636,inventory,200,7.07,1,
1784875741638,order,200,5.34,1,
1784875741638,product,200,8.36,1,
1784875741657,inventory,200,20.14,1,
1784875741658,order,200,11.95,1,
1784875741658,product,200,15.57,1,
1784875741677,inventory,200,5.34,1,
1784875741678,order,200,13.75,1,
1784875741678,product,200,24.15,1,
1784875741697,inventory,200,6.62,1,
1784875741699,order,200,9.38,1,
1784875741702,product,200,8.4,1,
1784875741717,inventory,200,6.74,1,
1784875741719,order,200,5.68,1,
1784875741722,product,200,4.73,1,
1784875741737,inventory,200,6.68,1,
1784875741739,order,200,10.78,1,
1784875741743,product,200,5.9,1,
1784875741757,inventory,200,4.01,1,
1784875741759,order,200,13.56,1,
1784875741763,product,200,5.53,1,
1784875741778,inventory,200,7.46,1,
1784875741779,order,200,5.61,1,
1784875741783,product,200,4.06,1,
1784875741798,inventory,200,3.14,1,
1784875741799,order,200,2.58,1,
1784875741803,product,200,2.71,1,
1784875741818,inventory,200,3.05,1,
1784875741819,order,200,2.74,1,
1784875741823,product,200,2.31,1,
1784875741839,inventory,200,3.61,1,
1784875741840,order,200,3.23,1,
1784875741843,product,200,2.83,1,
1784875741859,inventory,200,4.77,1,
1784875741862,order,200,4.6,1,
1784875741863,product,200,3.16,1,
1784875741879,inventory,200,3.36,1,
1784875741882,order,200,3.42,1,
1784875741883,product,200,3.01,1,
1784875741899,inventory,200,5.03,1,
1784875741902,order,200,5.2,1,
1784875741904,product,200,3.46,1,
1784875741919,inventory,200,3.24,1,
1784875741923,order,200,5.36,1,
1784875741924,product,200,3.74,1,
1784875741939,inventory,200,2.97,1,
1784875741943,order,200,2.91,1,
1784875741944,product,200,2.79,1,
1784875741959,inventory,200,2.82,1,
1784875741963,order,200,2.7,1,
1784875741964,product,200,2.57,1,
1784875741980,inventory,200,3.76,1,
1784875741983,order,200,3.01,1,
1784875741984,product,200,2.58,1,
1784875742000,inventory,200,3.89,1,
1784875742003,order,200,3.08,1,
1784875742004,product,200,2.96,1,
1784875742020,inventory,200,3.39,1,
1784875742024,product,200,2.95,1,
1784875742024,order,200,3.65,1,
1784875742040,inventory,200,3.06,1,
1784875742044,order,200,3.37,1,
1784875742044,product,200,3.01,1,
1784875742060,inventory,200,14.71,1,
1784875742064,order,200,6.75,1,
1784875742065,product,200,7.4,1,
1784875742080,inventory,200,3.53,1,
1784875742084,order,200,2.62,1,
1784875742085,product,200,2.31,1,
1784875742101,inventory,200,4.7,1,
1784875742104,order,200,4.45,1,
1784875742105,product,200,4.34,1,
1784875742121,inventory,200,4.32,1,
1784875742124,order,200,5.14,1,
1784875742125,product,200,4.73,1,
1784875742141,inventory,200,4.79,1,
1784875742145,product,200,4.52,1,
1784875742145,order,200,5.4,1,
1784875742161,inventory,200,4.41,1,
1784875742165,order,200,5.36,1,
1784875742166,product,200,4.43,1,
1784875742181,inventory,200,5.08,1,
1784875742185,order,200,4.88,1,
1784875742186,product,200,4.46,1,
1784875742201,inventory,200,4.6,1,
1784875742205,order,200,5.53,1,
1784875742206,product,200,4.54,1,
1784875742222,inventory,200,4.49,1,
1784875742225,order,200,5.58,1,
1784875742227,product,200,4.7,1,
1784875742242,inventory,200,4.94,1,
1784875742246,order,200,4.72,1,
1784875742247,product,200,4.18,1,
1784875742262,inventory,200,4.58,1,
1784875742266,order,200,5.26,1,
1784875742267,product,200,4.54,1,
1784875742283,inventory,200,4.62,1,
1784875742286,order,200,5.1,1,
1784875742287,product,200,4.42,1,
1784875742303,inventory,200,4.8,1,
