timestamp_ms,endpoint,status,latency_ms,success,error
1784916658257,product,200,73.94,1,
1784916658259,inventory,200,80.96,1,
1784916658260,order,200,83.99,1,
1784916658331,product,200,4.19,1,
1784916658340,inventory,200,3.84,1,
1784916658344,order,200,4.13,1,
1784916658351,product,200,4.45,1,
1784916658360,inventory,200,2.95,1,
1784916658364,order,200,2.57,1,
1784916658371,product,200,3.51,1,
1784916658380,inventory,200,2.91,1,
1784916658384,order,200,4.84,1,
1784916658391,product,200,16.86,1,
1784916658400,inventory,200,3.79,1,
1784916658404,order,200,5.48,1,
1784916658411,product,200,5.78,1,
1784916658420,inventory,200,5.46,1,
1784916658424,order,200,4.55,1,
1784916658431,product,200,6.2,1,
1784916658441,inventory,200,5.84,1,
1784916658444,order,200,6.31,1,
1784916658452,product,200,6.79,1,
1784916658461,inventory,200,3.45,1,
1784916658464,order,200,7.73,1,
1784916658472,product,200,3.18,1,
1784916658481,inventory,200,4.25,1,
1784916658484,order,200,9.56,1,
1784916658492,product,200,5.04,1,
1784916658501,inventory,200,4.63,1,
1784916658505,order,200,5.77,1,
1784916658512,product,200,2.53,1,
1784916658521,inventory,200,2.92,1,
1784916658525,order,200,3.4,1,
1784916658534,product,200,4.29,1,
1784916658542,inventory,200,15.12,1,
1784916658545,order,200,5.77,1,
1784916658554,product,200,12.21,1,
1784916658562,inventory,200,6.4,1,
1784916658565,order,200,4.02,1,
1784916658574,product,200,7.08,1,
1784916658582,inventory,200,4.02,1,
1784916658585,order,200,10.69,1,
1784916658594,product,200,5.93,1,
1784916658602,inventory,200,5.12,1,
1784916658605,order,200,8.39,1,
1784916658614,product,200,5.03,1,
1784916658623,inventory,200,180.35,1,
1784916658625,order,200,6.97,1,
1784916658634,product,200,4.66,1,
1784916658645,order,200,4.77,1,
1784916658654,product,200,4.95,1,
1784916658666,order,200,3.63,1,
1784916658674,product,200,4.87,1,
1784916658686,order,200,4.8,1,
1784916658695,product,200,8.18,1,
1784916658706,order,200,7.06,1,
1784916658715,product,200,5.62,1,
1784916658726,order,200,5.94,1,
1784916658736,product,200,9.95,1,
1784916658746,order,200,7.88,1,
1784916658756,product,200,6.17,1,
1784916658767,order,200,35.99,1,
1784916658777,product,200,4.27,1,
1784916658797,product,200,23.72,1,
1784916658803,inventory,200,11.07,1,
1784916658803,order,200,40.17,1,
1784916658821,product,200,8.22,1,
1784916658823,inventory,200,13.7,1,
1784916658841,product,200,5.29,1,
1784916658843,order,200,72.16,1,
1784916658844,inventory,200,5.36,1,
1784916658861,product,200,4.28,1,
1784916658864,inventory,200,3.94,1,
1784916658881,product,200,5.68,1,
1784916658884,inventory,200,5.78,1,
1784916658901,product,200,3.46,1,
1784916658904,inventory,200,4.21,1,
1784916658915,order,200,10.05,1,
1784916658922,product,200,6.77,1,
1784916658924,inventory,200,25.85,1,
1784916658935,order,200,28.19,1,
1784916658942,product,200,41.35,1,
1784916658950,inventory,200,62.05,1,
1784916658963,order,200,11.42,1,
1784916658983,product,200,25.69,1,
1784916658984,order,200,19.93,1,
1784916659004,order,200,9.01,1,
1784916659009,product,200,7.8,1,
1784916659012,inventory,200,15.25,1,
1784916659024,order,200,8.24,1,
1784916659029,product,200,15.78,1,
1784916659032,inventory,200,17.71,1,
1784916659044,order,200,5.29,1,
1784916659050,product,200,4.36,1,
1784916659052,inventory,200,10.41,1,
1784916659064,order,200,4.44,1,
1784916659070,product,200,3.67,1,
1784916659073,inventory,200,5.36,1,
1784916659084,order,200,4.03,1,
1784916659090,product,200,3.81,1,
1784916659093,inventory,200,4.91,1,
1784916659105,order,200,3.2,1,
1784916659110,product,200,2.8,1,
1784916659113,inventory,200,2.44,1,
1784916659125,order,200,3.01,1,
1784916659130,product,200,2.82,1,
1784916659133,inventory,200,2.62,1,
1784916659145,order,200,3.54,1,
1784916659150,product,200,2.77,1,
1784916659153,inventory,200,2.25,1,
1784916659165,order,200,2.73,1,
1784916659170,product,200,2.38,1,
1784916659173,inventory,200,2.63,1,
1784916659185,order,200,2.93,1,
1784916659190,product,200,2.5,1,
1784916659193,inventory,200,2.75,1,
1784916659205,order,200,3.04,1,
1784916659211,product,200,3.14,1,
1784916659213,inventory,200,3.4,1,
1784916659225,order,200,2.82,1,
1784916659231,product,200,2.49,1,
1784916659234,inventory,200,3.16,1,
1784916659245,order,200,3.45,1,
1784916659251,product,200,2.46,1,
1784916659254,inventory,200,2.5,1,
1784916659266,order,200,3.01,1,
1784916659271,product,200,3.06,1,
1784916659274,inventory,200,3.08,1,
1784916659286,order,200,3.13,1,
1784916659292,product,200,3.2,1,
1784916659294,inventory,200,2.93,1,
1784916659306,order,200,4.05,1,
1784916659312,product,200,3.71,1,
1784916659314,inventory,200,4.08,1,
1784916659327,order,200,10.52,1,
1784916659333,product,200,17.85,1,
1784916659334,inventory,200,22.06,1,
1784916659347,order,200,31.25,1,
1784916659353,product,200,21.16,1,
1784916659356,inventory,200,20.88,1,
1784916659374,product,200,13.24,1,
1784916659377,inventory,200,18.44,1,
1784916659378,order,200,10.95,1,
1784916659394,product,200,6.7,1,
1784916659397,inventory,200,6.16,1,
1784916659398,order,200,5.24,1,
1784916659414,product,200,3.15,1,
1784916659418,inventory,200,3.27,1,
1784916659418,order,200,3.12,1,
1784916659435,product,200,3.06,1,
1784916659438,inventory,200,3.61,1,
1784916659439,order,200,2.61,1,
1784916659455,product,200,3.04,1,
1784916659458,inventory,200,3.5,1,
1784916659459,order,200,4.17,1,
1784916659475,product,200,4.15,1,
1784916659478,inventory,200,4.18,1,
1784916659479,order,200,4.8,1,
1784916659495,product,200,4.0,1,
1784916659498,inventory,200,5.56,1,
1784916659499,order,200,4.52,1,
1784916659515,product,200,6.18,1,
1784916659518,inventory,200,5.43,1,
1784916659519,order,200,8.66,1,
1784916659535,product,200,4.16,1,
1784916659538,inventory,200,4.03,1,
1784916659539,order,200,4.07,1,
1784916659555,product,200,4.7,1,
1784916659559,inventory,200,4.55,1,
1784916659560,order,200,3.99,1,
1784916659576,product,200,4.25,1,
1784916659579,inventory,200,4.42,1,
1784916659580,order,200,4.17,1,
1784916659596,product,200,4.27,1,
1784916659599,inventory,200,4.33,1,
1784916659600,order,200,4.78,1,
1784916659616,product,200,4.61,1,
1784916659619,inventory,200,4.4,1,
1784916659620,order,200,4.05,1,
1784916659636,product,200,4.11,1,
1784916659639,inventory,200,4.4,1,
1784916659640,order,200,4.16,1,
1784916659656,product,200,4.7,1,
1784916659659,inventory,200,4.35,1,
1784916659661,order,200,4.01,1,
1784916659676,product,200,4.31,1,
1784916659679,inventory,200,4.09,1,
1784916659681,order,200,3.98,1,
1784916659696,product,200,4.35,1,
1784916659700,inventory,200,4.16,1,
1784916659701,order,200,3.83,1,
1784916659717,product,200,4.88,1,
1784916659720,inventory,200,5.08,1,
1784916659721,order,200,4.4,1,
1784916659737,product,200,27.08,1,
1784916659740,inventory,200,11.01,1,
1784916659742,order,200,10.0,1,
1784916659762,order,200,13.38,1,
1784916659763,inventory,200,12.4,1,
1784916659764,product,200,15.28,1,
1784916659782,order,200,17.65,1,
1784916659783,inventory,200,20.33,1,
1784916659784,product,200,7.93,1,
1784916659802,order,200,9.71,1,
1784916659803,inventory,200,5.58,1,
1784916659805,product,200,5.61,1,
1784916659822,order,200,4.79,1,
1784916659824,inventory,200,4.51,1,
1784916659825,product,200,4.32,1,
1784916659842,order,200,3.96,1,
1784916659844,inventory,200,3.34,1,
1784916659845,product,200,3.19,1,
1784916659863,order,200,4.71,1,
1784916659864,inventory,200,4.47,1,
1784916659865,product,200,4.44,1,
1784916659883,order,200,5.32,1,
1784916659884,inventory,200,4.82,1,
1784916659885,product,200,4.36,1,
1784916659903,order,200,5.36,1,
1784916659904,inventory,200,4.65,1,
1784916659905,product,200,4.08,1,
1784916659923,order,200,5.07,1,
1784916659924,inventory,200,5.24,1,
1784916659925,product,200,4.98,1,
1784916659943,order,200,5.98,1,
1784916659944,inventory,200,4.97,1,
1784916659946,product,200,5.09,1,
1784916659963,order,200,4.44,1,
1784916659964,inventory,200,4.76,1,
1784916659966,product,200,4.06,1,
1784916659984,order,200,4.33,1,
1784916659985,inventory,200,5.22,1,
1784916659986,product,200,5.38,1,
1784916660004,order,200,5.6,1,
1784916660005,inventory,200,4.66,1,
1784916660006,product,200,6.43,1,
1784916660024,order,200,7.05,1,
1784916660025,inventory,200,6.35,1,
1784916660026,product,200,6.6,1,
1784916660044,order,200,5.0,1,
1784916660045,inventory,200,5.11,1,
1784916660046,product,200,4.6,1,
1784916660064,order,200,5.78,1,
1784916660065,inventory,200,5.25,1,
1784916660067,product,200,6.22,1,
1784916660084,order,200,6.39,1,
1784916660085,inventory,200,5.48,1,
1784916660087,product,200,5.87,1,
1784916660105,order,200,4.78,1,
1784916660105,inventory,200,7.02,1,
1784916660107,product,200,5.53,1,
1784916660125,order,200,6.52,1,
1784916660126,inventory,200,7.92,1,
1784916660127,product,200,5.58,1,
1784916660145,order,200,4.71,1,
1784916660147,product,200,10.14,1,
1784916660149,inventory,200,5.28,1,
1784916660166,order,200,3.55,1,
1784916660167,product,200,3.6,1,
1784916660169,inventory,200,3.61,1,
1784916660186,order,200,3.57,1,
1784916660187,product,200,3.5,1,
1784916660189,inventory,200,3.48,1,
1784916660206,order,200,3.27,1,
1784916660208,product,200,3.39,1,
1784916660209,inventory,200,3.09,1,
1784916660226,order,200,3.4,1,
1784916660228,product,200,2.71,1,
1784916660230,inventory,200,2.68,1,
1784916660246,order,200,2.85,1,
1784916660248,product,200,2.62,1,
1784916660250,inventory,200,2.4,1,
1784916660266,order,200,3.42,1,
1784916660268,product,200,2.82,1,
1784916660270,inventory,200,3.05,1,
1784916660286,order,200,3.81,1,
1784916660288,product,200,2.72,1,
1784916660290,inventory,200,3.91,1,
1784916660307,order,200,4.3,1,
1784916660308,product,200,3.41,1,
1784916660310,inventory,200,4.08,1,
1784916660327,order,200,3.03,1,
1784916660328,product,200,3.27,1,
1784916660330,inventory,200,2.78,1,
1784916660347,order,200,3.04,1,
1784916660348,product,200,2.99,1,
1784916660350,inventory,200,2.63,1,
1784916660367,order,200,3.1,1,
1784916660369,product,200,3.03,1,
1784916660371,inventory,200,3.37,1,
1784916660387,order,200,3.11,1,
1784916660389,product,200,2.81,1,
1784916660391,inventory,200,2.78,1,
1784916660407,order,200,3.01,1,
1784916660409,product,200,2.66,1,
1784916660411,inventory,200,2.35,1,
1784916660427,order,200,2.98,1,
1784916660429,product,200,2.96,1,
1784916660431,inventory,200,2.85,1,
1784916660448,order,200,3.81,1,
1784916660449,product,200,3.16,1,
1784916660451,inventory,200,3.26,1,
1784916660468,order,200,3.8,1,
1784916660469,product,200,3.69,1,
1784916660471,inventory,200,3.43,1,
1784916660488,order,200,4.28,1,
1784916660489,product,200,4.09,1,
1784916660492,inventory,200,4.03,1,
1784916660508,order,200,4.64,1,
1784916660509,product,200,4.26,1,
1784916660512,inventory,200,4.08,1,
1784916660528,order,200,6.74,1,
1784916660529,product,200,11.11,1,
1784916660532,inventory,200,6.9,1,
1784916660548,order,200,8.16,1,
1784916660550,product,200,19.54,1,
1784916660552,inventory,200,14.07,1,
1784916660570,order,200,7.54,1,
1784916660570,product,200,10.18,1,
1784916660573,inventory,200,8.12,1,
1784916660590,product,200,6.42,1,
1784916660590,order,200,8.06,1,
1784916660593,inventory,200,5.21,1,
1784916660610,order,200,4.73,1,
1784916660610,product,200,4.43,1,
1784916660613,inventory,200,4.69,1,
1784916660630,order,200,4.06,1,
1784916660631,product,200,3.44,1,
1784916660633,inventory,200,3.97,1,
1784916660650,order,200,4.02,1,
1784916660651,product,200,3.81,1,
1784916660653,inventory,200,3.0,1,
1784916660670,order,200,3.79,1,
1784916660671,product,200,3.24,1,
1784916660673,inventory,200,3.12,1,
1784916660690,order,200,4.58,1,
1784916660691,product,200,4.02,1,
1784916660693,inventory,200,4.06,1,
1784916660711,product,200,5.85,1,
1784916660711,order,200,6.4,1,
1784916660714,inventory,200,5.25,1,
1784916660731,product,200,4.53,1,
1784916660731,order,200,5.16,1,
1784916660734,inventory,200,4.88,1,
1784916660751,order,200,4.32,1,
1784916660751,product,200,4.52,1,
1784916660754,inventory,200,4.12,1,
1784916660771,order,200,4.77,1,
1784916660772,product,200,4.3,1,
1784916660774,inventory,200,4.21,1,
1784916660791,order,200,5.43,1,
1784916660792,product,200,4.88,1,
1784916660794,inventory,200,4.23,1,
1784916660811,order,200,4.97,1,
1784916660812,product,200,4.6,1,
1784916660814,inventory,200,4.4,1,
1784916660832,product,200,3.96,1,
1784916660832,order,200,4.95,1,
1784916660834,inventory,200,4.16,1,
1784916660852,product,200,4.47,1,
1784916660852,order,200,5.05,1,
1784916660855,inventory,200,4.56,1,
1784916660872,order,200,5.51,1,
1784916660873,product,200,3.81,1,
1784916660875,inventory,200,5.25,1,
1784916660892,order,200,5.8,1,
1784916660893,product,200,5.33,1,
1784916660895,inventory,200,4.69,1,
1784916660912,order,200,4.97,1,
1784916660913,product,200,4.37,1,
1784916660915,inventory,200,4.31,1,
1784916660933,product,200,13.97,1,
1784916660933,order,200,15.51,1,
1784916660935,inventory,200,9.75,1,
1784916660953,product,200,28.75,1,
1784916660953,order,200,33.15,1,
1784916660955,inventory,200,20.72,1,
1784916660976,inventory,200,13.19,1,
1784916660982,product,200,29.2,1,
1784916660986,order,200,26.67,1,
1784916660997,inventory,200,26.85,1,
1784916661011,product,200,31.58,1,
1784916661013,order,200,26.49,1,
1784916661024,inventory,200,18.06,1,
1784916661039,order,200,17.7,1,
1784916661043,product,200,14.32,1,
1784916661045,inventory,200,10.6,1,
1784916661060,order,200,3.74,1,
1784916661063,product,200,2.58,1,
1784916661065,inventory,200,2.8,1,
1784916661080,order,200,2.52,1,
1784916661084,product,200,2.35,1,
1784916661085,inventory,200,2.54,1,
1784916661100,order,200,2.56,1,
1784916661104,product,200,2.5,1,
1784916661105,inventory,200,2.65,1,
1784916661120,order,200,2.91,1,
1784916661124,product,200,3.65,1,
1784916661125,inventory,200,3.91,1,
1784916661140,order,200,4.19,1,
1784916661144,product,200,4.51,1,
1784916661145,inventory,200,4.15,1,
1784916661161,order,200,4.53,1,
