timestamp_ms,endpoint,status,latency_ms,success,error
1784832090232,product,200,104.69,1,
1784832090233,inventory,200,99.82,1,
1784832090233,order,200,99.85,1,
1784832090332,inventory,200,3.34,1,
1784832090333,order,200,3.15,1,
1784832090336,product,200,2.25,1,
1784832090353,inventory,200,4.68,1,
1784832090353,order,200,5.16,1,
1784832090356,product,200,4.53,1,
1784832090373,inventory,200,4.26,1,
1784832090373,order,200,4.06,1,
1784832090377,product,200,3.97,1,
1784832090393,inventory,200,4.94,1,
1784832090393,order,200,4.46,1,
1784832090397,product,200,4.07,1,
1784832090413,inventory,200,5.05,1,
1784832090414,order,200,4.38,1,
1784832090418,product,200,3.67,1,
1784832090433,inventory,200,4.43,1,
1784832090434,order,200,4.56,1,
1784832090438,product,200,3.78,1,
1784832090453,inventory,200,4.39,1,
1784832090454,order,200,4.34,1,
1784832090458,product,200,3.94,1,
1784832090474,inventory,200,4.97,1,
1784832090474,order,200,4.75,1,
1784832090478,product,200,4.08,1,
1784832090494,inventory,200,4.17,1,
1784832090495,order,200,4.51,1,
1784832090498,product,200,4.07,1,
1784832090514,inventory,200,5.21,1,
1784832090515,order,200,4.61,1,
1784832090518,product,200,4.6,1,
1784832090534,inventory,200,9.99,1,
1784832090535,order,200,15.92,1,
1784832090539,product,200,29.36,1,
1784832090555,inventory,200,8.79,1,
1784832090555,order,200,15.92,1,
1784832090568,product,200,12.01,1,
1784832090575,inventory,200,12.68,1,
1784832090575,order,200,17.94,1,
1784832090589,product,200,8.41,1,
1784832090595,inventory,200,6.46,1,
1784832090596,order,200,7.67,1,
1784832090609,product,200,5.72,1,
1784832090615,inventory,200,6.41,1,
1784832090616,order,200,5.71,1,
1784832090629,product,200,4.48,1,
1784832090635,inventory,200,6.04,1,
1784832090636,order,200,7.28,1,
1784832090649,product,200,4.06,1,
1784832090655,inventory,200,3.58,1,
1784832090656,order,200,3.45,1,
1784832090669,product,200,2.76,1,
1784832090675,inventory,200,2.58,1,
1784832090676,order,200,2.8,1,
1784832090690,product,200,4.27,1,
1784832090696,inventory,200,4.31,1,
1784832090696,order,200,4.62,1,
1784832090710,product,200,4.19,1,
1784832090716,inventory,200,4.66,1,
1784832090716,order,200,4.08,1,
1784832090730,product,200,3.78,1,
1784832090736,inventory,200,4.01,1,
1784832090737,order,200,4.2,1,
1784832090750,product,200,3.86,1,
1784832090756,inventory,200,4.95,1,
1784832090757,order,200,4.4,1,
1784832090770,product,200,3.76,1,
1784832090776,inventory,200,5.15,1,
1784832090777,order,200,4.54,1,
1784832090790,product,200,4.56,1,
1784832090796,inventory,200,5.81,1,
1784832090797,order,200,5.4,1,
1784832090810,product,200,3.94,1,
1784832090817,inventory,200,4.6,1,
1784832090817,order,200,4.48,1,
1784832090831,product,200,4.37,1,
1784832090837,inventory,200,5.1,1,
1784832090837,order,200,5.46,1,
1784832090851,product,200,3.88,1,
1784832090857,inventory,200,5.94,1,
1784832090857,order,200,5.53,1,
1784832090871,product,200,4.37,1,
1784832090877,inventory,200,4.1,1,
1784832090878,order,200,4.13,1,
1784832090891,product,200,3.9,1,
1784832090897,inventory,200,4.24,1,
1784832090898,order,200,4.54,1,
1784832090911,product,200,3.7,1,
1784832090917,inventory,200,12.52,1,
1784832090918,order,200,12.28,1,
1784832090931,product,200,31.92,1,
1784832090938,inventory,200,15.49,1,
1784832090939,order,200,17.6,1,
1784832090958,inventory,200,10.53,1,
1784832090963,product,200,5.37,1,
1784832090968,order,200,4.23,1,
1784832090978,inventory,200,3.78,1,
1784832090984,product,200,2.52,1,
1784832090989,order,200,3.05,1,
1784832090998,inventory,200,4.45,1,
1784832091004,product,200,3.45,1,
1784832091009,order,200,3.51,1,
1784832091019,inventory,200,2.48,1,
1784832091024,product,200,2.46,1,
1784832091029,order,200,3.76,1,
1784832091039,inventory,200,4.5,1,
1784832091044,product,200,3.65,1,
1784832091049,order,200,6.53,1,
1784832091059,inventory,200,4.59,1,
1784832091064,product,200,4.46,1,
1784832091069,order,200,4.53,1,
1784832091079,inventory,200,4.12,1,
1784832091084,product,200,4.23,1,
1784832091089,order,200,4.23,1,
1784832091099,inventory,200,4.2,1,
1784832091105,product,200,3.97,1,
1784832091109,order,200,3.1,1,
1784832091119,inventory,200,3.42,1,
1784832091125,product,200,2.6,1,
1784832091130,order,200,2.95,1,
1784832091139,inventory,200,2.85,1,
1784832091145,product,200,2.69,1,
1784832091150,order,200,2.76,1,
1784832091160,inventory,200,2.53,1,
1784832091165,product,200,2.69,1,
1784832091170,order,200,2.77,1,
1784832091180,inventory,200,2.81,1,
1784832091185,product,200,2.83,1,
1784832091190,order,200,2.34,1,
1784832091200,inventory,200,2.7,1,
1784832091205,product,200,2.13,1,
1784832091210,order,200,2.73,1,
1784832091220,inventory,200,2.68,1,
1784832091225,product,200,2.32,1,
1784832091230,order,200,2.61,1,
1784832091240,inventory,200,2.26,1,
1784832091245,product,200,2.37,1,
1784832091250,order,200,3.07,1,
1784832091260,inventory,200,2.69,1,
1784832091266,product,200,2.59,1,
1784832091270,order,200,3.29,1,
1784832091280,inventory,200,3.53,1,
1784832091286,product,200,3.46,1,
1784832091291,order,200,3.49,1,
1784832091300,inventory,200,4.06,1,
1784832091306,product,200,4.18,1,
1784832091311,order,200,3.81,1,
1784832091321,inventory,200,8.29,1,
1784832091326,product,200,11.26,1,
1784832091331,order,200,8.76,1,
1784832091341,inventory,200,7.56,1,
1784832091346,product,200,11.17,1,
1784832091351,order,200,9.35,1,
1784832091361,inventory,200,6.29,1,
1784832091366,product,200,5.86,1,
1784832091371,order,200,5.15,1,
1784832091381,inventory,200,5.41,1,
1784832091387,product,200,8.81,1,
1784832091391,order,200,7.83,1,
1784832091401,inventory,200,5.33,1,
1784832091407,product,200,5.37,1,
1784832091412,order,200,4.06,1,
1784832091422,inventory,200,3.84,1,
1784832091427,product,200,3.91,1,
1784832091432,order,200,4.59,1,
1784832091442,inventory,200,3.43,1,
1784832091447,product,200,4.04,1,
1784832091452,order,200,2.93,1,
1784832091462,inventory,200,3.2,1,
1784832091467,product,200,3.86,1,
1784832091472,order,200,4.51,1,
1784832091482,inventory,200,3.44,1,
1784832091487,product,200,3.9,1,
1784832091492,order,200,4.03,1,
1784832091502,inventory,200,3.87,1,
1784832091508,product,200,3.07,1,
1784832091513,order,200,3.28,1,
1784832091522,inventory,200,2.73,1,
1784832091528,product,200,2.57,1,
1784832091533,order,200,3.05,1,
1784832091542,inventory,200,2.73,1,
1784832091548,product,200,4.06,1,
1784832091553,order,200,4.58,1,
1784832091563,inventory,200,4.18,1,
1784832091568,product,200,3.57,1,
1784832091573,order,200,4.19,1,
1784832091583,inventory,200,3.88,1,
1784832091588,product,200,3.75,1,
1784832091593,order,200,3.83,1,
1784832091603,inventory,200,4.12,1,
1784832091608,product,200,3.5,1,
1784832091613,order,200,3.93,1,
1784832091623,inventory,200,3.77,1,
1784832091628,product,200,3.68,1,
1784832091633,order,200,4.11,1,
1784832091643,inventory,200,3.55,1,
1784832091648,product,200,3.35,1,
1784832091654,order,200,3.08,1,
1784832091663,inventory,200,3.55,1,
1784832091669,product,200,3.33,1,
1784832091674,order,200,3.88,1,
1784832091683,inventory,200,3.31,1,
1784832091689,product,200,3.85,1,
